sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Human8,128,0.6373,0.5318,0.0703,0.3828,1.0,1.0,43.8072,24.0849,0.10549999999999993
Human9,305,0.5693,0.4218,0.3475,0.2852,1.0,1.0,43.2309,23.4606,0.14750000000000002
Ironman,166,0.1128,0.1041,0.9036,0.0904,0.1024,0.1145,54.6409,30.9431,0.0087
Jogging,307,0.6634,0.5958,0.0293,0.9414,0.9772,0.9772,38.0307,20.992,0.0676
Jump,122,0.076,0.0746,0.9426,0.0574,0.0574,0.0574,28.5791,18.0221,0.0013999999999999985
Jumping,313,0.727,0.6706,0.0,0.9872,1.0,0.9904,62.7604,48.8874,0.056400000000000006
KiteSurf,84,0.5158,0.3348,0.369,0.381,0.7738,0.4048,61.2219,18.5154,0.18100000000000005
Lemming,1336,0.2494,0.4575,0.7358,0.3593,0.2747,0.7972,35.5621,14.7718,-0.2081
Liquor,1741,0.7096,0.3379,0.0281,0.4268,0.9845,0.4285,28.2425,27.1327,0.37170000000000003
Man,134,0.855,0.8509,0.0,1.0,1.0,1.0,35.4922,62.5689,0.0040999999999999925
Matrix,100,0.0358,0.0353,0.99,0.01,0.01,0.01,41.8981,20.8181,0.0005000000000000004
Mhyang,1490,0.7572,0.7941,0.0121,0.9993,1.0,1.0,32.1994,16.8797,-0.036900000000000044
MotorRolling,164,0.1047,0.1066,0.9329,0.0793,0.0488,0.0549,39.4791,19.771,-0.001899999999999999
MountainBike,228,0.6192,0.5641,0.2193,0.6623,1.0,1.0,37.6393,24.2251,0.05509999999999993
Panda,1000,0.3656,0.3651,0.704,0.301,0.781,0.781,65.0868,16.8727,0.0005000000000000004
RedTeam,1918,0.4956,0.5175,0.5829,0.6277,1.0,1.0,25.4097,22.0966,-0.021899999999999975
Rubik,1997,0.3569,0.3704,0.7236,0.1622,0.6224,0.3225,38.3907,47.6778,-0.013500000000000012
Shaking,365,0.1736,0.0373,0.8219,0.0137,0.1781,0.0137,46.6409,97.5707,0.1363
Singer1,351,0.8729,0.8071,0.0,1.0,1.0,1.0,36.4502,10.6657,0.06579999999999997
Singer2,366,0.0583,0.0599,0.9672,0.0355,0.0355,0.0355,47.8833,14.8896,-0.0016000000000000042
Skater,160,0.5878,0.6131,0.2375,0.85,0.9938,0.9938,41.8818,17.135,-0.02529999999999999
Skater2,435,0.5406,0.5459,0.4184,0.6207,0.7057,0.6414,28.8926,16.6937,-0.005300000000000082
Skating1,400,0.4538,0.3182,0.41,0.43,0.6875,0.45,45.2156,16.2586,0.1356
Skating2_1,473,0.2283,0.3331,0.8795,0.2791,0.2791,0.4059,24.5821,11.3968,-0.1048
Skating2_2,473,0.4275,0.5091,0.6702,0.556,0.2875,0.4292,22.0528,13.6276,-0.0816
Skiing,81,0.0821,0.0821,0.9383,0.0617,0.0988,0.0988,44.1177,21.5663,0.0
Soccer,392,0.1763,0.1765,0.8673,0.1327,0.1352,0.1327,41.9046,11.0813,-0.00019999999999997797
Subway,175,0.6789,0.6854,0.0286,0.9943,1.0,1.0,84.2466,27.4416,-0.006500000000000061
Surfer,376,0.5211,0.522,0.5532,0.4521,1.0,1.0,82.8531,21.0876,-0.0009000000000000119
Suv,945,0.2565,0.2373,0.9228,0.0698,0.5291,0.528,48.2147,21.0012,0.019199999999999995
Sylvester,1345,0.6537,0.4024,0.1643,0.1323,0.8907,0.9264,42.3353,15.6305,0.25129999999999997
Tiger1,354,0.7478,0.7622,0.0452,0.9746,0.935,0.9463,44.2328,18.2487,-0.014399999999999968
Tiger2,365,0.4675,0.4408,0.5507,0.4082,0.4877,0.4904,40.9235,23.9046,0.0267
Toy,271,0.2782,0.4183,0.7712,0.4649,0.5314,0.6421,61.6607,38.5009,-0.1401
Trans,124,0.4526,0.524,0.7177,0.3952,0.2581,0.371,19.8402,7.1676,-0.07140000000000002
Trellis,569,0.6135,0.596,0.0404,0.8436,1.0,1.0,40.6871,13.6495,0.01750000000000007
Twinnings,472,0.7252,0.7114,0.1229,0.8814,0.8898,0.8898,48.6942,18.9814,0.013799999999999923
Vase,271,0.4469,0.3625,0.6531,0.1845,0.7638,0.679,54.6942,19.4814,0.08440000000000003
Walking,412,0.6709,0.6723,0.0073,0.9782,1.0,1.0,51.0836,26.069,-0.0013999999999999568
Walking2,500,0.7951,0.8049,0.0,1.0,1.0,1.0,35.4073,21.6569,-0.00979999999999992
Woman,597,0.6894,0.6679,0.067,0.9179,1.0,1.0,18.2819,20.4345,0.021499999999999964
OVERALL,58733,0.5301,0.5117,0.4042,0.5693,0.7564,0.7562,38.4685,22.6195,0.018399999999999972
